# Mysterious pattern central peak parameters
# I_baseline Intensity  Δxcam  Δycam FWHM_maj FWHM_min orientation  Δ2theta     Δchi
#      [cts]     [cts]  [pix]  [pix]    [pix]    [pix]       [deg]    [deg]    [deg]
     1308.55  11869.72  5.700  5.618    0.739    0.919       -5.76 -0.01272 -0.00722
     1309.22  11811.17  5.709  5.583    0.734    0.918       -6.05 -0.01178 -0.00744
     1307.01  11833.44  5.705  5.634    0.735    0.920       -9.79 -0.01305 -0.00735
     1304.13  11305.12  5.590  5.671    0.946    0.767     -286.81 -0.01534 -0.00426
     1304.40  11060.08  5.373  5.764    0.780    0.966      160.74 -0.02023  0.00157
     1306.27  11031.74  5.079  5.799    0.780    0.951      -13.74 -0.02465  0.00952
     1312.96  11819.56  5.022  5.776    0.744    0.912       -2.92 -0.02478  0.01104
     1314.20  11760.36  5.130  5.692    0.737    0.913       -2.68 -0.02144  0.00816
     1313.91  12231.62  5.170  5.666    0.738    0.893       -4.91 -0.02031  0.00707
     1305.34  11844.13  5.371  5.705    0.771    0.898      -13.43 -0.01884  0.00165
     1308.09  11687.70  5.266  5.780    0.767    0.913      -21.23 -0.02192  0.00446
     1314.31  12234.95  5.088  5.762    0.742    0.875       -5.23 -0.02363  0.00926
     1313.94  12123.15  5.022  5.637    0.754    0.879        0.46 -0.02142  0.01108
     1318.13  12490.34  5.036  5.542    0.733    0.882        0.90 -0.01896  0.01073
     1314.60  12312.24  5.118  5.474    0.721    0.890       -0.98 -0.01631  0.00852
     1314.46  12421.47  5.211  5.439    0.733    0.893       -2.66 -0.01434  0.00601
     1311.76  11924.39  5.145  5.405    0.753    0.903       -6.25 -0.01432  0.00780
     1315.39  12022.00  5.070  5.435    0.743    0.898       -4.79 -0.01595  0.00983
     1314.68  11810.56  5.251  5.487    0.761    0.904       -6.38 -0.01501  0.00493
     1307.22  11648.29  5.478  5.551    0.776    0.910      168.60 -0.01380 -0.00121
     1303.71  11344.24  5.374  5.576    0.920    0.781      255.63 -0.01566  0.00159
     1308.46  11441.15  5.277  5.608    0.911    0.765      260.09 -0.01762  0.00421
     1312.82  11798.78  5.118  5.623    0.755    0.899       -9.58 -0.01992  0.00849
     1317.98  12101.71  5.028  5.569    0.745    0.881       -3.13 -0.01970  0.01092
     1318.23  12326.47  5.178  5.446    0.735    0.890        1.26 -0.01490  0.00692
     1310.10  12002.17  5.314  5.364    0.758    0.904      355.93 -0.01126  0.00326
     1308.73  11573.21  5.237  5.367    0.757    0.930      166.58 -0.01227  0.00533
     1313.51  11780.71  5.088  5.459    0.924    0.742     -101.27 -0.01632  0.00934
     1312.53  12124.34  5.160  5.543    0.732    0.905      172.12 -0.01746  0.00737
     1305.07  11672.38  5.325  5.570    0.912    0.767      -95.31 -0.01612  0.00292
     1301.23  11297.49  5.512  5.510    0.792    0.911     -179.47 -0.01239 -0.00212
     1299.88  11392.04  5.462  5.378    0.903    0.801      812.07 -0.00981 -0.00075
     1305.33  11322.94  5.319  5.270    0.779    0.911     -359.22 -0.00893  0.00314
     1306.57  10977.93  5.529  5.243    0.802    0.941       -5.61 -0.00574 -0.00252
     1300.41  10806.34  5.830  5.299    0.767    0.988      -10.47 -0.00343 -0.01066
     1300.74  10278.45  5.897  5.455    1.015    0.784       69.02 -0.00640 -0.01250
     1297.53  10160.20  5.520  5.561    0.828    0.991      335.43 -0.01353 -0.00234
     1308.50  11259.83  5.215  5.574    0.778    0.937     -187.21 -0.01755  0.00589
     1311.05  11740.10  5.231  5.473    0.758    0.917        0.67 -0.01493  0.00548
     1301.18  11320.27  5.412  5.326    0.788    0.920        3.37 -0.00917  0.00062
     1307.74  10268.89  5.602  5.237    0.797    0.964       -5.05 -0.00471 -0.00450
     1303.87  10464.64  5.657  5.288    0.795    0.963      -16.19 -0.00528 -0.00598
     1298.56  11602.91  5.553  5.307    0.920    0.776       79.84 -0.00700 -0.00319
     1303.67  11862.93  5.610  5.322    0.763    0.901       -5.11 -0.00668 -0.00472
     1303.14  11500.83  5.654  5.241    0.760    0.924       -5.23 -0.00418 -0.00589
     1298.61  10994.89  5.502  5.180    0.802    0.959     -190.10 -0.00455 -0.00177
     1303.53  10727.58  5.233  5.248    0.795    0.970    -2716.76 -0.00944  0.00547
     1314.91  11049.06  5.054  5.316    0.783    0.926       -5.51 -0.01327  0.01028
     1314.17  11237.12  5.136  5.274    0.753    0.935       -1.09 -0.01126  0.00808
     1303.29  11274.66  5.301  5.331    0.764    0.950     -548.76 -0.01063  0.00360
     1312.85  12533.38  5.920  5.690    0.704    0.857       -4.30 -0.01180 -0.01317
     1314.06  12372.18  6.032  5.619    0.718    0.856      175.00 -0.00872 -0.01619
     1310.23  11772.81  6.124  5.571    0.744    0.876      171.93 -0.00645 -0.01866
     1313.24  11613.70  5.877  5.452    0.898    0.770      268.19 -0.00655 -0.01197
     1302.31  11360.34  5.648  5.313    0.781    0.920       -3.01 -0.00599 -0.00574
     1306.86  11520.99  5.550  5.335    0.924    0.786     -279.53 -0.00769 -0.00312
     1310.11  11591.30  5.428  5.338    0.791    0.911      171.12 -0.00927  0.00019
     1312.23  11782.93  5.336  5.336    0.772    0.898     -368.90 -0.01034  0.00268
     1308.28  11323.80  5.199  5.370    0.774    0.935      164.84 -0.01282  0.00637
     1308.23  10917.93  4.930  5.416    0.795    0.943     -193.96 -0.01718  0.01360
